title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
Secret Life Of Bees The	2008	11000000	38105395	2008-09-17	114	6.6	tt0416212	Adventure-Drama
Secret Life of Chaos The	2010	NULL	NULL	2010-01-14	60	10	tt1674741	Documentary-Family-Foreign
Secret Life of Words The	2005	5000000	NULL	2005-12-15	112	10	tt0430576	Drama-Romance-Foreign
Secret of Kells The	2009	NULL	NULL	2009-12-04	75	6.9	tt0485601	Animation-Fantasy-Family
Secret of Life on Earth The	1993	NULL	NULL	1993-01-01	42	NULL	tt0111111	Documentary-Short
Secret Of Moonacre The	2008	12000000	7070330	2008-09-06	103	7.1	tt0396707	Adventure-Drama-Fantasy-Science Fiction-Romance-Family
Secret of NIMH The	1982	7000000	14665733	1982-07-02	82	7.1	tt0084649	Animation-Drama-Fantasy-Science Fiction-Family
Secret of the Sword The	1985	NULL	7	1985-01-01	100	8.7	tt0089984	Animation-Family
Secret The	2006	NULL	NULL	2006-11-10	NULL	NULL	NULL	Erotic
Secret Un	2007	NULL	NULL	2007-10-03	105	6.5	tt0490234	Drama
Secret Un	2007	NULL	NULL	2007-10-03	105	6.5	tt0490234	Drama
Secretariat	2010	35000000	60242305	2010-10-08	123	6.2	tt1028576	Drama
Secretary	2002	NULL	9304609	2002-01-11	104	7	tt0274812	Comedy-Drama-Romance
Secreto Del Dr Orloff El	1964	NULL	NULL	1964-01-01	99	NULL	tt0058563	Horror
Secrets & Lies	1996	4500000	NULL	1996-05-24	142	6.7	tt0117589	Comedy-Drama
Secrets of a Desperate Housewife	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Sector 7	2011	8700000	NULL	2011-08-04	101	5.4	tt1934381	Action-Adventure-Horror-Science Fiction-Thriller
Sedam I Po	2006	NULL	NULL	2006-06-21	106	7.5	tt0496226	Comedy-Drama-Foreign
See No Evil	2006	8000000	NULL	2006-05-19	84	5.6	tt0437179	Action-Crime-Horror-Thriller
See No Evil: The Moors Murders	2006	NULL	NULL	2006-05-14	NULL	NULL	tt0491807	Crime-Drama-Thriller
Seed of Chucky	2004	12000000	24829644	2004-11-11	87	5.1	tt0387575	Comedy-Drama-Horror
SeeFood	2011	2219684	NULL	2012-10-02	93	6.3	tt1891905	Adventure-Animation-Comedy-Family
